Prod_id,Ship_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Product_Category,Product_Sub_Category,Customer_Name,Province,Region,Customer_Segment,Order_ID,Ship_Mode,Ship_Date,Year_Month
Prod_13,SHP_5176,193.7,0.06,20,-14.99,4.82,0.47,OFFICE SUPPLIES,PENS & ART SUPPLIES,ALEKSANDRA GANNAWAY,SASKACHEWAN,PRARIE,CORPORATE,38596,REGULAR AIR,2010-04-03,2010-04
Prod_4,SHP_5178,553.3415,0.08,33,-67.71,0.99,0.83,TECHNOLOGY,TELEPHONES AND COMMUNICATION,ALEKSANDRA GANNAWAY,SASKACHEWAN,PRARIE,CORPORATE,41186,REGULAR AIR,2010-11-23,2010-11
Prod_16,SHP_5771,207.21,0.06,24,-78.64,6.14,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",ALLEN ARMOLD,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,13920,REGULAR AIR,2009-10-10,2009-10
Prod_6,SHP_5770,901.32,0.1,25,338.01,5.08,0.38,OFFICE SUPPLIES,PAPER,ALLEN ARMOLD,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,13920,EXPRESS AIR,2009-10-11,2009-10
Prod_16,SHP_6686,95.09,0.09,9,-13.53,3.37,0.57,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",ALYSSA TATE,BRITISH COLUMBIA,WEST,SMALL BUSINESS,55554,REGULAR AIR,2009-11-17,2009-11
Prod_6,SHP_6686,122.09,0.04,6,-15.2,9.54,0.37,OFFICE SUPPLIES,PAPER,ALYSSA TATE,BRITISH COLUMBIA,WEST,SMALL BUSINESS,55554,REGULAR AIR,2009-11-17,2009-11
Prod_13,SHP_6687,150.06,0.05,49,30.97,0.7,0.56,OFFICE SUPPLIES,PENS & ART SUPPLIES,ALYSSA TATE,BRITISH COLUMBIA,WEST,SMALL BUSINESS,55554,REGULAR AIR,2009-11-19,2009-11
Prod_6,SHP_6731,158.91,0.06,24,-38.57,5.2,0.37,OFFICE SUPPLIES,PAPER,ALYSSA TATE,BRITISH COLUMBIA,WEST,SMALL BUSINESS,59363,REGULAR AIR,2009-05-02,2009-05
Prod_6,SHP_2548,817.53,0.03,34,76.63,11.54,0.39,OFFICE SUPPLIES,PAPER,AMY COX,NEWFOUNDLAND,ATLANTIC,SMALL BUSINESS,48455,REGULAR AIR,2009-06-03,2009-06
Prod_17,SHP_2548,25.96,0.05,2,-29.29,6.24,0.36,TECHNOLOGY,OFFICE MACHINES,AMY COX,ONTARIO,ONTARIO,SMALL BUSINESS,48455,REGULAR AIR,2009-06-03,2009-06
Prod_16,SHP_6273,92.02,0.07,9,-24.88,4.68,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",AMY COX,YUKON,YUKON,CORPORATE,19524,REGULAR AIR,2010-01-15,2010-01
Prod_16,SHP_5688,666.4,0.0,39,2.02,7.42,0.56,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,43653,EXPRESS AIR,2012-10-31,2012-10
Prod_6,SHP_5685,241.92,0.1,26,67.71,2.27,0.36,OFFICE SUPPLIES,PAPER,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,42788,REGULAR AIR,2011-10-15,2011-10
Prod_6,SHP_5599,144.95,0.08,7,10.82,5.86,0.38,OFFICE SUPPLIES,PAPER,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,10979,EXPRESS AIR,2011-10-06,2011-10
Prod_5,SHP_5598,486.43,0.0,15,285.35,3.92,0.44,FURNITURE,OFFICE FURNISHINGS,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,10979,REGULAR AIR,2011-10-06,2011-10
Prod_7,SHP_5687,10.62,0.07,3,-3.96,1.35,0.4,OFFICE SUPPLIES,RUBBER BANDS,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,43653,REGULAR AIR,2012-10-30,2012-10
Prod_1,SHP_5708,7922.69,0.1,21,1558.79,19.99,0.58,OFFICE SUPPLIES,STORAGE & ORGANIZATION,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,53895,REGULAR AIR,2011-09-06,2011-09
Prod_1,SHP_5689,351.3,0.06,10,1.45,8.22,0.57,OFFICE SUPPLIES,STORAGE & ORGANIZATION,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,43653,REGULAR AIR,2012-11-01,2012-11
Prod_8,SHP_5674,1692.28,0.1,46,61.0,4.0,0.7,TECHNOLOGY,COMPUTER PERIPHERALS,AMY HUNT,SASKACHEWAN,PRARIE,SMALL BUSINESS,31847,REGULAR AIR,2009-12-22,2009-12
Prod_16,SHP_2145,184.77,0.0,29,-71.96,5.3,0.55,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",ANDY YOTOV,ONTARIO,ONTARIO,CORPORATE,39330,EXPRESS AIR,2010-07-18,2010-07
Prod_13,SHP_1897,37.3,0.0,7,5.03,0.71,0.52,OFFICE SUPPLIES,PENS & ART SUPPLIES,ANDY YOTOV,ONTARIO,ONTARIO,CORPORATE,13861,REGULAR AIR,2010-08-11,2010-08
Prod_16,SHP_2178,139.37,0.04,16,1.72,2.64,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,43367,EXPRESS AIR,2010-03-10,2010-03
Prod_4,SHP_2308,2077.1875,0.05,12,-38.07,4.2,0.59,TECHNOLOGY,TELEPHONES AND COMMUNICATION,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,58113,EXPRESS AIR,2012-02-03,2012-02
Prod_6,SHP_2177,23.38,0.08,3,-12.19,5.14,0.37,OFFICE SUPPLIES,PAPER,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,43367,REGULAR AIR,2010-03-12,2010-03
Prod_3,SHP_2307,362.71,0.07,48,-88.95,6.16,0.35,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,58113,REGULAR AIR,2012-02-03,2012-02
Prod_3,SHP_2238,2010.89,0.09,34,564.07,11.55,0.38,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,50306,REGULAR AIR,2011-05-22,2011-05
Prod_1,SHP_2179,1221.62,0.01,18,-468.64,35.0,0.8,OFFICE SUPPLIES,STORAGE & ORGANIZATION,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,43367,REGULAR AIR,2010-03-09,2010-03
Prod_16,SHP_1976,539.06,0.05,42,-123.07,4.59,0.82,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,20259,REGULAR AIR,2011-05-25,2011-05
Prod_4,SHP_2119,1491.8265,0.1,28,124.83,8.99,0.56,TECHNOLOGY,TELEPHONES AND COMMUNICATION,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,36679,REGULAR AIR,2011-09-02,2011-09
Prod_6,SHP_1839,225.21,0.06,38,-66.16,5.2,0.36,OFFICE SUPPLIES,PAPER,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,6438,REGULAR AIR,2010-05-17,2010-05
Prod_5,SHP_1838,75.72,0.02,7,20.29,6.02,0.48,FURNITURE,OFFICE FURNISHINGS,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,6438,REGULAR AIR,2010-05-16,2010-05
Prod_5,SHP_1953,2673.08,0.01,45,-1363.12,52.2,0.72,FURNITURE,OFFICE FURNISHINGS,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,18182,REGULAR AIR,2011-04-11,2011-04
Prod_1,SHP_1954,396.69,0.09,12,-18.45,8.74,0.61,OFFICE SUPPLIES,STORAGE & ORGANIZATION,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,18182,EXPRESS AIR,2011-04-12,2011-04
Prod_8,SHP_1952,4598.73,0.04,45,1049.45,19.99,0.5,TECHNOLOGY,COMPUTER PERIPHERALS,ANNA HABERLIN,ONTARIO,ONTARIO,CORPORATE,18182,REGULAR AIR,2011-04-12,2011-04
Prod_16,SHP_3386,90.93,0.05,43,-72.5,2.56,0.55,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,36355,REGULAR AIR,2009-12-03,2009-12
Prod_13,SHP_3386,125.95,0.0,10,15.73,2.36,0.55,OFFICE SUPPLIES,PENS & ART SUPPLIES,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,36355,REGULAR AIR,2009-12-03,2009-12
Prod_11,SHP_3311,7981.2,0.02,21,-592.52,85.63,0.74,FURNITURE,TABLES,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,24069,DELIVERY TRUCK,2010-07-23,2010-07
Prod_11,SHP_3447,5407.9,0.01,35,-352.79,46.2,0.69,FURNITURE,TABLES,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,46562,DELIVERY TRUCK,2011-02-14,2011-02
Prod_5,SHP_3478,1020.88,0.08,47,173.94,8.99,0.44,FURNITURE,OFFICE FURNISHINGS,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,52480,REGULAR AIR,2010-07-29,2010-07
Prod_5,SHP_3385,129.5,0.02,6,65.49,6.68,0.53,FURNITURE,OFFICE FURNISHINGS,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,36355,REGULAR AIR,2009-12-02,2009-12
Prod_9,SHP_3335,53.66,0.09,5,5.69,1.39,0.35,OFFICE SUPPLIES,ENVELOPES,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,27011,REGULAR AIR,2010-12-30,2010-12
Prod_7,SHP_3313,60.64,0.05,31,-66.62,2.58,0.82,OFFICE SUPPLIES,RUBBER BANDS,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,24228,REGULAR AIR,2009-07-21,2009-07
Prod_3,SHP_3384,61.43,0.09,9,-42.98,7.78,0.37,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,36355,EXPRESS AIR,2009-12-02,2009-12
Prod_16,SHP_3957,138.55,0.03,16,0.9,2.64,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,18595,REGULAR AIR,2009-02-02,2009-02
Prod_2,SHP_3957,451.44,0.1,6,-35.19,13.99,0.52,OFFICE SUPPLIES,APPLIANCES,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,18595,REGULAR AIR,2009-02-02,2009-02
Prod_12,SHP_3935,116.37,0.04,27,57.63,0.5,0.38,OFFICE SUPPLIES,LABELS,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,13670,EXPRESS AIR,2012-05-26,2012-05
Prod_5,SHP_3998,306.02,0.08,27,-6.7,6.2,0.52,FURNITURE,OFFICE FURNISHINGS,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,27974,REGULAR AIR,2010-10-08,2010-10
Prod_15,SHP_3998,897.42,0.08,35,127.17,5.3,0.52,FURNITURE,CHAIRS & CHAIRMATS,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,27974,REGULAR AIR,2010-10-08,2010-10
Prod_5,SHP_3920,168.25,0.09,6,101.78,6.93,0.49,FURNITURE,OFFICE FURNISHINGS,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,7429,EXPRESS AIR,2010-05-27,2010-05
Prod_8,SHP_3919,1379.34,0.04,33,-470.85,19.99,0.77,TECHNOLOGY,COMPUTER PERIPHERALS,ART FOSTER,ONTARIO,ONTARIO,HOME OFFICE,7429,REGULAR AIR,2010-05-27,2010-05
Prod_16,SHP_56,9620.82,0.04,6,-1759.58,24.49,0.81,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",BARRY WEIRICH,NUNAVUT,NUNAVUT,CORPORATE,6116,REGULAR AIR,2009-03-22,2009-03
Prod_9,SHP_67,751.77,0.05,50,353.2,1.39,0.38,OFFICE SUPPLIES,ENVELOPES,BARRY WEIRICH,NUNAVUT,NUNAVUT,CORPORATE,7430,REGULAR AIR,2010-06-09,2010-06
Prod_16,SHP_1324,503.17,0.01,46,-10.21,4.68,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",BART WATTERS,BRITISH COLUMBIA,WEST,CORPORATE,34721,REGULAR AIR,2010-11-02,2010-11
Prod_16,SHP_1345,638.91,0.02,49,77.48,3.14,0.6,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",BART WATTERS,BRITISH COLUMBIA,WEST,CORPORATE,41671,REGULAR AIR,2012-12-05,2012-12
Prod_16,SHP_3273,138.84,0.0,15,8.75,2.64,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",BEN WALLACE,QUEBEC,QUEBEC,HOME OFFICE,17446,EXPRESS AIR,2009-06-11,2009-06
Prod_6,SHP_3455,187.13,0.02,31,-60.83,5.46,0.36,OFFICE SUPPLIES,PAPER,BEN WALLACE,QUEBEC,QUEBEC,HOME OFFICE,47265,REGULAR AIR,2011-12-11,2011-12
Prod_12,SHP_3263,90.15,0.07,13,33.05,0.49,0.38,OFFICE SUPPLIES,LABELS,BEN WALLACE,QUEBEC,QUEBEC,HOME OFFICE,15264,REGULAR AIR,2011-11-17,2011-11
Prod_12,SHP_3223,117.4,0.01,41,48.63,0.5,0.36,OFFICE SUPPLIES,LABELS,BEN WALLACE,QUEBEC,QUEBEC,HOME OFFICE,4769,REGULAR AIR,2011-04-14,2011-04
Prod_11,SHP_3394,20596.58,0.09,39,-1331.55,64.59,0.66,FURNITURE,TABLES,BEN WALLACE,QUEBEC,QUEBEC,HOME OFFICE,37414,DELIVERY TRUCK,2011-09-11,2011-09
Prod_5,SHP_3246,4629.67,0.04,45,2860.71,8.99,0.35,FURNITURE,OFFICE FURNISHINGS,BEN WALLACE,QUEBEC,QUEBEC,HOME OFFICE,11527,REGULAR AIR,2009-07-04,2009-07
Prod_9,SHP_3416,258.74,0.05,23,10.8,5.72,0.35,OFFICE SUPPLIES,ENVELOPES,BEN WALLACE,QUEBEC,QUEBEC,HOME OFFICE,40643,REGULAR AIR,2011-04-07,2011-04
Prod_3,SHP_3262,3581.52,0.07,3,-408.22,19.99,0.35,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BEN WALLACE,QUEBEC,QUEBEC,HOME OFFICE,15264,REGULAR AIR,2011-11-19,2011-11
Prod_16,SHP_6011,395.37,0.07,37,17.15,3.37,0.57,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",BENJAMIN FARHAT,YUKON,YUKON,HOME OFFICE,49764,EXPRESS AIR,2010-10-07,2010-10
Prod_16,SHP_6033,103.03,0.07,49,-82.63,2.56,0.55,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",BENJAMIN FARHAT,YUKON,YUKON,HOME OFFICE,58564,REGULAR AIR,2012-11-13,2012-11
Prod_6,SHP_5953,151.09,0.02,29,4.59,3.01,0.36,OFFICE SUPPLIES,PAPER,BENJAMIN FARHAT,YUKON,YUKON,HOME OFFICE,20615,EXPRESS AIR,2012-04-16,2012-04
Prod_6,SHP_5924,294.86,0.07,45,-141.12,6.92,0.37,OFFICE SUPPLIES,PAPER,BENJAMIN FARHAT,YUKON,YUKON,HOME OFFICE,8132,REGULAR AIR,2009-05-21,2009-05
Prod_17,SHP_6027,15152.55,0.05,34,7719.21,28.14,0.38,TECHNOLOGY,OFFICE MACHINES,BENJAMIN FARHAT,YUKON,YUKON,HOME OFFICE,55653,DELIVERY TRUCK,2010-11-27,2010-11
Prod_2,SHP_5958,2405.0,0.1,39,696.17,0.99,0.58,OFFICE SUPPLIES,APPLIANCES,BENJAMIN FARHAT,YUKON,YUKON,HOME OFFICE,22689,REGULAR AIR,2011-10-11,2011-10
Prod_1,SHP_5971,2752.68,0.04,45,430.32,12.78,0.58,OFFICE SUPPLIES,STORAGE & ORGANIZATION,BENJAMIN FARHAT,YUKON,YUKON,HOME OFFICE,26336,REGULAR AIR,2012-05-27,2012-05
Prod_8,SHP_5923,229.35,0.08,46,-165.45,4.93,0.66,TECHNOLOGY,COMPUTER PERIPHERALS,BENJAMIN FARHAT,YUKON,YUKON,HOME OFFICE,8132,EXPRESS AIR,2009-05-14,2009-05
Prod_8,SHP_5970,1516.82,0.1,39,-83.28,6.5,0.74,TECHNOLOGY,COMPUTER PERIPHERALS,BENJAMIN FARHAT,YUKON,YUKON,HOME OFFICE,26336,REGULAR AIR,2012-05-28,2012-05
Prod_16,SHP_5613,171.5,0.02,16,-20.41,4.68,0.59,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",BETH FRITZLER,SASKACHEWAN,PRARIE,SMALL BUSINESS,16422,REGULAR AIR,2011-10-11,2011-10
Prod_4,SHP_5647,1426.5125,0.04,19,-175.18,0.99,0.85,TECHNOLOGY,TELEPHONES AND COMMUNICATION,BETH FRITZLER,SASKACHEWAN,PRARIE,SMALL BUSINESS,24193,REGULAR AIR,2009-03-16,2009-03
Prod_4,SHP_5651,1561.2205,0.09,36,-226.82,2.5,0.83,TECHNOLOGY,TELEPHONES AND COMMUNICATION,BETH FRITZLER,SASKACHEWAN,PRARIE,SMALL BUSINESS,24993,REGULAR AIR,2010-03-13,2010-03
Prod_6,SHP_5646,109.86,0.02,24,-63.87,5.17,0.4,OFFICE SUPPLIES,PAPER,BETH FRITZLER,SASKACHEWAN,PRARIE,SMALL BUSINESS,24193,REGULAR AIR,2009-03-15,2009-03
Prod_6,SHP_5612,272.01,0.01,40,-42.45,5.14,0.37,OFFICE SUPPLIES,PAPER,BETH FRITZLER,SASKACHEWAN,PRARIE,SMALL BUSINESS,16422,REGULAR AIR,2011-10-10,2011-10
Prod_10,SHP_5645,9539.6,0.02,45,-163.63,55.96,0.75,FURNITURE,BOOKCASES,BETH FRITZLER,SASKACHEWAN,PRARIE,SMALL BUSINESS,24193,DELIVERY TRUCK,2009-03-16,2009-03
Prod_5,SHP_5657,1901.29,0.08,41,870.8,6.77,0.44,FURNITURE,OFFICE FURNISHINGS,BETH FRITZLER,SASKACHEWAN,PRARIE,SMALL BUSINESS,26214,REGULAR AIR,2011-11-21,2011-11
Prod_9,SHP_5656,305.68,0.1,19,128.17,1.39,0.4,OFFICE SUPPLIES,ENVELOPES,BETH FRITZLER,SASKACHEWAN,PRARIE,SMALL BUSINESS,26214,EXPRESS AIR,2011-11-21,2011-11
Prod_16,SHP_284,327.15,0.04,19,47.3,3.26,0.56,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,33377,REGULAR AIR,2011-08-01,2011-08
Prod_13,SHP_145,18.37,0.01,6,-4.06,1.2,0.58,OFFICE SUPPLIES,PENS & ART SUPPLIES,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,16706,REGULAR AIR,2012-06-28,2012-06
Prod_5,SHP_145,1943.72,0.03,47,-1003.58,34.2,0.73,FURNITURE,OFFICE FURNISHINGS,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,16706,REGULAR AIR,2012-06-28,2012-06
Prod_13,SHP_306,217.25,0.07,39,33.5,1.2,0.55,OFFICE SUPPLIES,PENS & ART SUPPLIES,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,35266,REGULAR AIR,2011-01-10,2011-01
Prod_4,SHP_146,6175.777,0.07,49,1881.58,3.9,0.55,TECHNOLOGY,TELEPHONES AND COMMUNICATION,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,16706,EXPRESS AIR,2012-06-29,2012-06
Prod_6,SHP_283,100.4,0.06,20,11.94,2.04,0.36,OFFICE SUPPLIES,PAPER,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,33377,REGULAR AIR,2011-08-02,2011-08
Prod_11,SHP_391,2195.55,0.01,20,-355.94,60.0,0.59,FURNITURE,TABLES,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,50278,DELIVERY TRUCK,2010-05-27,2010-05
Prod_11,SHP_307,5993.74,0.07,28,-998.94,69.64,0.77,FURNITURE,TABLES,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,35266,DELIVERY TRUCK,2011-01-12,2011-01
Prod_10,SHP_123,5350.61,0.09,34,-1059.2,60.49,0.69,FURNITURE,BOOKCASES,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,14372,DELIVERY TRUCK,2012-10-25,2012-10
Prod_5,SHP_388,1323.67,0.04,12,630.28,5.81,0.65,FURNITURE,OFFICE FURNISHINGS,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,49952,EXPRESS AIR,2011-11-20,2011-11
Prod_5,SHP_179,465.83,0.1,49,-79.72,6.22,0.55,FURNITURE,OFFICE FURNISHINGS,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,22151,REGULAR AIR,2010-07-31,2010-07
Prod_3,SHP_390,51.21,0.0,2,-27.53,8.83,0.37,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,50278,REGULAR AIR,2010-05-25,2010-05
Prod_3,SHP_343,18.92,0.0,1,-18.25,7.19,0.4,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,41409,REGULAR AIR,2011-07-23,2011-07
Prod_1,SHP_262,789.01,0.07,2,-539.59,11.37,0.57,OFFICE SUPPLIES,STORAGE & ORGANIZATION,BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,31364,REGULAR AIR,2009-05-01,2009-05
Prod_16,SHP_1590,483.64,0.1,45,28.39,3.37,0.57,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,13345,REGULAR AIR,2012-09-02,2012-09
Prod_4,SHP_1596,58.14,0.01,3,-96.25,4.81,0.58,TECHNOLOGY,TELEPHONES AND COMMUNICATION,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,15808,REGULAR AIR,2010-12-15,2010-12
Prod_4,SHP_1611,754.6555,0.01,8,-212.55,2.5,0.57,TECHNOLOGY,TELEPHONES AND COMMUNICATION,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,30016,REGULAR AIR,2009-01-06,2009-01
Prod_4,SHP_1629,1318.8685,0.03,24,172.33,3.99,0.59,TECHNOLOGY,TELEPHONES AND COMMUNICATION,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,41543,REGULAR AIR,2009-02-10,2009-02
Prod_6,SHP_1588,2063.42,0.03,38,989.95,5.15,0.36,OFFICE SUPPLIES,PAPER,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,12452,REGULAR AIR,2010-12-09,2010-12
Prod_8,SHP_1588,112.86,0.04,17,-56.78,4.07,0.66,TECHNOLOGY,COMPUTER PERIPHERALS,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,12452,REGULAR AIR,2010-12-09,2010-12
Prod_6,SHP_1610,85.56,0.03,15,-41.58,5.66,0.4,OFFICE SUPPLIES,PAPER,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,30016,REGULAR AIR,2009-01-05,2009-01
Prod_6,SHP_1598,147.46,0.06,39,14.13,1.93,0.35,OFFICE SUPPLIES,PAPER,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,16326,REGULAR AIR,2010-05-10,2010-05
Prod_12,SHP_1625,23.84,0.02,7,5.88,0.5,0.37,OFFICE SUPPLIES,LABELS,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,40961,REGULAR AIR,2011-03-31,2011-03
Prod_2,SHP_1642,21.45,0.01,1,-7.22,6.75,0.52,OFFICE SUPPLIES,APPLIANCES,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,56101,REGULAR AIR,2010-07-21,2010-07
Prod_5,SHP_1593,126.88,0.05,33,12.63,1.61,0.44,FURNITURE,OFFICE FURNISHINGS,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,15808,REGULAR AIR,2010-12-14,2010-12
